order,family,species,synonyms,common_names,Phytogeographic_domains,countries,realm,redlistCategory,yearPublished_IUCN,habitats_categories,populationTrend,density_n_km2_Soria_et_al_2021,Endemic_BR,Restricted_Range,dispersal_km,home_range,adult_body_length_mm,Weight_min_g,Weight_max_g,Weight_mean_g,diet_invert,diet_vert_endoterm,diet_vert_ectoterm,diet_vfish,diet_scavenger,diet_fruit,diet_nect,diet_seed,diet_plant_other,diet_gumivore,foraging_stratum,Potential_to_provide_services,cultural_service_charismatic_species,Ref_cultural_service,ecotourism,Ref_ecotourism,carrion_control,carrion_control_low_potential,Ref_carrion_control,pollination,pollination_low_potential,Ref_pollination,top_down_regulation,top_down_regulation_low_potential,Ref_top_down_regulation,seed_dispersal,seed_dispersal_low_potential,Ref_seed_dispersal,pest_and_disease_control,pest_and_disease_control_low_potential,Ref_pest_and_disease_control,nutrient_transporting_horizontal,nutrient_transporting_horizontal,nutrient_transporting_vertical,Ref_nutrient_transporting_vertical,nutrient_transporting_horizontal_and_vertical,nutrient_transporting_horizontal_and_vertical_low_potential,ecosystem_engineering,ecosystem_engineering_low_potential,Ref_ecosystem_engineering,rodent_control,rodent_control_low_potential,Ref_rodent_control,disease_sentinelling,disease_sentinelling_low_potential,Ref_disease_sentinelling,Provide_at_least_one_service,Number_of_services_provided
CHIROPTERA,MOLOSSIDAE,Molossops temminckii,NA,NA,"Am, MA, Ce, Ca, Pt","Colombia, Ecuador, Paraguay, Brazil, Guyana, Bolivia, Plurinational States of, Venezuela, Bolivarian Republic of, Uruguay, Peru, Argentina",Neotropical,Least Concern,2015,"Forest - Subtropical/Tropical Moist Lowland, Artificial/Terrestrial - Urban Areas",Unknown,NA,0,0,NA,NA,51,5,7,6,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,MOLOSSIDAE,Molossus aztecus,NA,Aztec Mastiff Bat,NA,"Venezuela, Bolivarian Republic of, Guatemala, Mexico, Honduras, Nicaragua, Brazil",Neotropical,Least Concern,2019,"Forest - Subtropical/Tropical Dry, Forest - Subtropical/Tropical Moist Lowland, Artificial/Terrestrial - Urban Areas, Forest - Subtropical/Tropical Moist Montane",Decreasing,NA,NA,NA,NA,NA,57.4,12,15,14,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,MOLOSSIDAE,Molossus coibensis,Molossus barnesi,Coiban Mastiff Bat,"Am, Ce","Peru, Honduras, Nicaragua, El Salvador, Venezuela, Bolivarian Republic of, Panama, Mexico, Brazil, Guatemala, Costa Rica, Guyana, French Guiana, Colombia, Ecuador",Neotropical,Least Concern,2017,"Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry, Forest - Temperate, Artificial/Terrestrial - Urban Areas",Unknown,NA,0,0,NA,NA,58,10,16,13,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,MOLOSSIDAE,Molossus currentium,NA,Bonda Mastiff Bat,"Am, Pt","Argentina, Brazil, Paraguay, Uruguay",Neotropical,Least Concern,2016,"Forest - Subtropical/Tropical Moist Lowland, Savanna - Moist, Grassland - Subtropical/Tropical Seasonally Wet/Flooded",Unknown,NA,0,0,NA,NA,70,16,21,19,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,MOLOSSIDAE,Molossus molossus,Vespertilio molossus,NA,"Am, MA, Ce, Ca, Pt, Pp","Nicaragua, United States, Suriname, Guyana, Trinidad and Tobago, Uruguay, Colombia, El Salvador, Curaçao, Argentina, Peru, Mexico, Costa Rica, Ecuador, Brazil, French Guiana, Panama, Paraguay, Venezuela, Bolivarian Republic of, Belize, Bonaire, Sint Eustatius and Saba",Neotropical,Least Concern,2015,"Artificial/Terrestrial - Urban Areas, Forest - Subtropical/Tropical Moist Lowland",Unknown,NA,0,0,NA,NA,64,13,15,14,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,MOLOSSIDAE,Molossus pretiosus,NA,Miller's Mastiff Bat,"Ce, Ca, Pt","Mexico, Costa Rica, Nicaragua, Brazil, Guyana, Venezuela, Bolivarian Republic of, Colombia, Panama",Neotropical,Least Concern,2019,"Caves and Subterranean Habitats (non-aquatic) - Caves, Artificial/Terrestrial - Urban Areas, Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry",Unknown,NA,0,0,NA,NA,71.5,14,22,18,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,MOLOSSIDAE,Molossus rufus,Molossus ater,NA,"Am, MA, Ce, Ca, Pt","Guyana, Colombia, Belize, Bolivia, Plurinational States of, Costa Rica, Brazil, Mexico, Guatemala, Argentina, El Salvador, Honduras, Peru, Paraguay, French Guiana, Nicaragua, Trinidad and Tobago, Uruguay, Ecuador, Panama",Neotropical,Least Concern,2015,"Forest - Subtropical/Tropical Dry, Forest - Subtropical/Tropical Moist Lowland, Artificial/Terrestrial - Urban Areas, Shrubland - Subtropical/Tropical Moist, Shrubland - Subtropical/Tropical Dry",Stable,NA,0,0,NA,NA,84.5,28,37,33,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,VESPERTILIONIDAE,Myotis albescens,NA,Silver-tipped Myotis,"Am, MA, Ce, Pt","Paraguay, Peru, Ecuador, Honduras, Guatemala, Brazil, Nicaragua, Venezuela, Bolivarian Republic of, Argentina, Mexico, Guyana, Uruguay, Colombia, Suriname, Bolivia, Plurinational States of, Panama",Neotropical,Least Concern,2016,"Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Moist Montane, Artificial/Terrestrial - Urban Areas",Stable,NA,0,0,NA,NA,45,3,8,6,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,VESPERTILIONIDAE,Myotis dinellii,NA,NA,NA,"Argentina, Bolivia, Plurinational States of, Brazil",Neotropical,Least Concern,2016,"Artificial/Terrestrial, Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry",Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,2
CHIROPTERA,VESPERTILIONIDAE,Myotis izecksohni,NA,NA,MA,Brazil,Neotropical,Data Deficient,2017,"Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Moist Montane",Unknown,NA,1,0,NA,NA,35.7,4,12,8,100,0,0,0,0,0,0,0,0,0,aerial,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,VESPERTILIONIDAE,Myotis lavali,NA,NA,Ca,"Brazil, Paraguay",Neotropical,Least Concern,2017,"Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry, Savanna - Dry, Grassland - Subtropical/Tropical Dry",Unknown,NA,1,0,NA,NA,NA,3,8,6,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Kries et al. 2018),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,VESPERTILIONIDAE,Myotis levis,NA,Yellowish Myotis,"MA, Pp","Argentina, Brazil, Uruguay, Paraguay",Neotropical,Least Concern,2016,"Forest - Subtropical/Tropical Dry, Forest - Subtropical/Tropical Moist Lowland",Unknown,NA,0,0,NA,NA,51,4,5,5,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,VESPERTILIONIDAE,Myotis riparius,NA,Riparian Myotis,"Am, MA, Ce, Ca, Pt","Bolivia, Plurinational States of, Honduras, Nicaragua, French Guiana, El Salvador, Brazil, Costa Rica, Paraguay, Ecuador, Peru, Trinidad and Tobago, Guyana, Uruguay, Suriname, Panama, Colombia, Venezuela, Bolivarian Republic of, Argentina",Neotropical,Least Concern,2016,"Forest - Subtropical/Tropical Dry, Forest - Subtropical/Tropical Moist Lowland",Stable,NA,0,0,NA,NA,47,4,7,6,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,VESPERTILIONIDAE,Myotis ruber,NA,Red Myotis,"MA, Ca","Uruguay, Paraguay, Brazil, Argentina",Neotropical,Near Threatened,2019,Forest - Subtropical/Tropical Moist Lowland,Unknown,NA,0,0,NA,NA,50.5,6,8,7,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,VESPERTILIONIDAE,Myotis simus,NA,NA,"Am, MA, Pt","Peru, Argentina, Colombia, Brazil, Paraguay, Ecuador, Bolivia, Plurinational States of",Neotropical,Data Deficient,2016,Forest - Subtropical/Tropical Moist Lowland,Unknown,NA,0,0,NA,NA,52.5,7,8,8,100,0,0,0,0,0,0,0,0,0,aerial,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,NATALIDAE,Natalus espiritosantensis,"Natalus stramineus, Natalus macrourus",NA,NA,"Brazil, Bolivia, Plurinational States of, Paraguay",Neotropical,Near Threatened,2016,Caves and Subterranean Habitats (non-aquatic) - Caves,Unknown,NA,NA,NA,NA,NA,42,7,7,7,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,2
CHIROPTERA,PHYLLOSTOMIDAE,Neonycteris pusilla,Micronycteris pusilla,Least Big-eared Bat,Am,Brazil,Neotropical,Data Deficient,2016,Forest - Subtropical/Tropical Moist Lowland,Decreasing,NA,0,1,NA,NA,NA,6,6,6,80,0,0,0,0,20,0,0,0,0,aerial,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,(Reis et al. 2007),0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,NOCTILIONIDAE,Noctilio albiventris,NA,Lesser Bulldog Bat,"Am, MA, Ce, Ca, Pt, Pp","Ecuador, Paraguay, Guyana, Argentina, El Salvador, Peru, Belize, French Guiana, Nicaragua, Mexico, Guatemala, Bolivia, Plurinational States of, Brazil, Costa Rica, Honduras, Panama",Neotropical,Least Concern,2015,"Savanna - Moist, Artificial/Terrestrial, Forest - Subtropical/Tropical Moist Lowland",Stable,NA,0,0,NA,NA,70.5,18,44,31,100,0,0,0,0,20,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Bello et al. 2017),1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,2
CHIROPTERA,NOCTILIONIDAE,Noctilio leporinus,Vespertilio leporinus,Greater Bulldog Bat,"Am, MA, Ce, Ca, Pt, Pp","Bolivia, Plurinational States of, Virgin Islands, U.S., Panama, Mexico, Haiti, Colombia, Argentina, Virgin Islands, British, Trinidad and Tobago, Cuba, Dominica, Paraguay, Venezuela, Bolivarian Republic of, El Salvador, Suriname, Guadeloupe, Puerto Rico, Belize, Saint Kitts and Nevis, Costa Rica, Ecuador, Aruba, Peru, Brazil, Martinique, Anguilla, Jamaica, Guyana, Grenada, Antigua and Barbuda, French Guiana, Nicaragua, Honduras, Saint Lucia, Bahamas, Barbados, Guatemala, Dominican Republic, Montserrat, Saint Vincent and the Grenadines, Saint Martin (French part), Sint Maarten (Dutch part)",Neotropical,Least Concern,2015,"Savanna - Dry, Savanna - Moist, Forest - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Moist, Artificial/Terrestrial, Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level, Forest - Subtropical/Tropical Moist Lowland, Caves and Subterranean Habitats (non-aquatic) - Caves",Unknown,NA,0,0,NA,NA,95,50,64,57,50,0,0,50,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
CHIROPTERA,MOLOSSIDAE,Nyctinomops aurispinosus,NA,Peale's Free-tailed Bat,MA,"Brazil, Colombia, Mexico, Bolivia, Plurinational States of, Venezuela, Bolivarian Republic of, Peru, Ecuador, Honduras",Neotropical,Least Concern,2019,"Artificial/Terrestrial - Urban Areas, Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Moist Montane, Forest - Subtropical/Tropical Dry, Caves and Subterranean Habitats (non-aquatic) - Caves",Unknown,NA,0,0,NA,NA,71.5,11,21,16,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,MOLOSSIDAE,Nyctinomops laticaudatus,Tadarida espiritosantensis,NA,"Am, MA, Ce, Ca, Pt, Pp","Brazil, Colombia, Cuba, Peru, French Guiana, Panama, Guatemala, Guyana, Trinidad and Tobago, Bolivia, Plurinational States of, Ecuador, Paraguay, Mexico, Venezuela, Bolivarian Republic of, Argentina, Belize, El Salvador, Uruguay, Honduras",Neotropical,Least Concern,2015,"Forest - Subtropical/Tropical Moist Lowland, Artificial/Terrestrial - Urban Areas, Forest - Subtropical/Tropical Dry, Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest",Unknown,NA,0,0,NA,NA,57,9,16,13,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,MOLOSSIDAE,Nyctinomops macrotis,NA,Big Free-tailed Bat,"Am, MA, Ce, Pt","Venezuela, Bolivarian Republic of, Uruguay, Suriname, Guyana, Dominican Republic, United States, Cuba, Canada, Mexico, Haiti, Jamaica, Argentina, Brazil, Colombia, Ecuador, French Guiana",Nearctic|Neotropical,Least Concern,2015,"Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry, Forest - Temperate, Artificial/Terrestrial - Urban Areas",Unknown,NA,0,0,NA,NA,130,25,25,25,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Sparks and Valdez 2003),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,EMBALLONURIDAE,Peropteryx kappleri,NA,Greater Dog-like Bat,"Am, MA, Ce, Ca","Suriname, Bolivia, Plurinational States of, Belize, Costa Rica, Ecuador, Peru, Guyana, Honduras, Guatemala, Colombia, Brazil, Nicaragua, Panama, Mexico, Venezuela, Bolivarian Republic of, French Guiana, El Salvador",Neotropical,Least Concern,2018,"Forest - Subtropical/Tropical Dry, Caves and Subterranean Habitats (non-aquatic) - Caves, Forest - Subtropical/Tropical Moist Lowland",Unknown,NA,0,0,NA,NA,52.5,3,11,7,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,EMBALLONURIDAE,Peropteryx leucoptera,NA,White-winged Dog-like Bat,"Am, MA, Ce","Suriname, Peru, French Guiana, Bolivia, Plurinational States of, Guyana, Venezuela, Bolivarian Republic of, Brazil, Colombia",Neotropical,Least Concern,2015,"Caves and Subterranean Habitats (non-aquatic) - Caves, Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry",Unknown,NA,0,0,NA,NA,51.5,4,9,6,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,EMBALLONURIDAE,Peropteryx macrotis,NA,Lesser Dog-like Bat,"Am, MA, Ce, Ca, Pt","Mexico, Venezuela, Bolivarian Republic of, Paraguay, French Guiana, El Salvador, Panama, Trinidad and Tobago, Suriname, Colombia, Belize, Costa Rica, Guyana, Peru, Bolivia, Plurinational States of, Ecuador, Nicaragua, Brazil, Guatemala, Honduras",Neotropical,Least Concern,2015,"Forest - Subtropical/Tropical Moist Lowland, Artificial/Terrestrial - Urban Areas, Forest - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Moist",Stable,NA,0,0,NA,NA,47.5,3,9,6,100,0,0,0,0,0,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,EMBALLONURIDAE,Peropteryx pallidoptera,NA,NA,NA,"Peru, Ecuador, Colombia, Brazil",Neotropical,Data Deficient,2016,Forest - Subtropical/Tropical Moist Lowland,Unknown,NA,NA,NA,NA,NA,48.7,4,6,5,100,0,0,0,0,0,0,0,0,0,aerial,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,(Reis et al. 2007),1,Expert knowledge,0,Expert knowledge,1,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,2
CHIROPTERA,EMBALLONURIDAE,Peropteryx trinitatis,NA,NA,Am,"Trinidad and Tobago, Venezuela, Bolivarian Republic of, Grenada, French Guiana, Aruba, Brazil, Guyana",Neotropical,Data Deficient,2016,"Caves and Subterranean Habitats (non-aquatic) - Caves, Forest - Subtropical/Tropical Dry",Unknown,NA,0,0,NA,NA,43.7,3,6,5,100,0,0,0,0,0,0,0,0,0,aerial,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,(Reis et al. 2007),0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,PHYLLOSTOMIDAE,Phylloderma stenops,NA,NA,"Am, MA, Ce, Pt","French Guiana, Guatemala, Peru, Ecuador, Costa Rica, Brazil, Belize, Panama, Guyana, Venezuela, Bolivarian Republic of, Mexico, Suriname, Colombia, Bolivia, Plurinational States of, Honduras",Neotropical,Least Concern,2015,"Forest - Subtropical/Tropical Moist Lowland, Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha), Savanna - Moist, Savanna - Dry",Stable,NA,0,0,NA,NA,98.5,41,65,53,30,10,10,0,0,50,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,PHYLLOSTOMIDAE,Platyrrhinus brachycephalus,NA,NA,Am,"Ecuador, Colombia, Venezuela, Bolivarian Republic of, Peru, Brazil, Guyana, French Guiana, Bolivia, Plurinational States of, Suriname",Neotropical,Least Concern,2015,"Forest - Subtropical/Tropical Moist Lowland, Caves and Subterranean Habitats (non-aquatic) - Caves",Stable,NA,0,0,NA,NA,60,10,20,15,10,0,0,0,0,90,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,PHYLLOSTOMIDAE,Platyrrhinus fusciventris,NA,Brown-bellied Broad-nosed Bat,Am,"Colombia, Venezuela, Bolivarian Republic of, Suriname, Guyana, French Guiana, Ecuador, Trinidad and Tobago, Brazil",Neotropical,Least Concern,2019,Forest - Subtropical/Tropical Moist Lowland,Stable,NA,0,0,NA,NA,59.5,12,18,15,10,0,0,0,0,90,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,PHYLLOSTOMIDAE,Platyrrhinus incarum,NA,Incan Broad-nosed Bat,"Am, MA, Ce, Pt","Peru, Guyana, French Guiana, Ecuador, Colombia, Brazil, Bolivia, Plurinational States of",Neotropical,Least Concern,2017,"Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Moist Montane",Stable,NA,0,0,NA,NA,59.5,12,18,15,10,0,0,0,0,90,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,PHYLLOSTOMIDAE,Platyrrhinus infuscus,NA,NA,Am,"Bolivia, Plurinational States of, Peru, Ecuador, Colombia, Brazil",Neotropical,Least Concern,2015,"Forest - Subtropical/Tropical Moist Lowland, Caves and Subterranean Habitats (non-aquatic) - Caves",Unknown,NA,0,0,NA,NA,91,36,59,48,10,0,0,0,0,90,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Reis et al. 2007),0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CHIROPTERA,PHYLLOSTOMIDAE,Platyrrhinus recifinus,NA,NA,"MA, Ce",Brazil,Neotropical,Least Concern,2016,"Savanna - Dry, Forest - Subtropical/Tropical Moist Lowland, Caves and Subterranean Habitats (non-aquatic) - Caves, Forest - Subtropical/Tropical Dry",Unknown,NA,1,0,NA,NA,91,17,19,18,10,0,0,0,0,90,0,0,0,0,aerial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,1,1,(Bello et al. 2017),0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,2
